0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1,0.3174308096,0,0,0,0,0.5769194055,0.2893243869,0.6713475756,0,0.4569069202,0,0,0.3522639087,0,0,0.6163913726,0,0.4586173216,0.3269540254,0.4489179939,0.8624767805,0.3898009916,0,0.5282421747,0.5535786344,0.2505953125,0,0,0,0,0.8412760777,0,0.2314145166,0,0,0,0,0.44924257,0.2221010633,0.2974492205,0,0.2909443728,0.184202072,0,0.1922926667,0.3962860569,0.3438175255,0.3315332262,0.5241413784,0,0.3805151431,0,0,0,0.3921276778,0.2763068512,0,0.1806275643,0.2046131492,0,0,0,0,0,0.208618922,0,0,0,0,0.1867862165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2256745085,0,0.5198502211,0,0.2543216284,0.2727067896,0,0,0.2623632437,0.3166929996,0,0.2306332961,0.1747020744,0,0,0.3137131147,0,0.2990124244,0.2355777427,0,0.780725657,0,0,0.2896253868
0.3174308096,1,0,0,0,0,0.7148615394,0.8226546299,0.6024826397,0,0.5726078151,0,0,0.7249525987,0,0,0.8634479148,0,0.6778429666,0.5633721912,0.6798665466,0.6900792487,0,0,0.5896663773,0.8647353231,0.4434016415,0.7086817203,0.4565870949,0.368025381,0,0.5467705295,0.3940103168,0.8625438492,0.5669553946,0.7668774876,0.511700822,0,0.5908624172,0.8946757624,0.9509720675,0.9320343602,0.312671111,0.9393470203,0.8644307112,0.9650959438,0.9356449871,0.7446136429,0.8561491321,0,0,0.7286639519,0,0,0.8004600297,0.9410811756,0.8676231525,0,0.513988208,0.7799615301,0.7543555866,0.7832840724,0,0,0.4092278395,0.9535568429,0,0,0,0.8501859908,0.95762167,0.5561230872,0,0,0.5907737253,0,0.2915859053,0.5994767278,0.8712894027,0.311623916,0.764559904,0.2338961028,0.4590718028,0.1793794047,0.8478021249,0.3689426741,0.7082024251,0,0.5810879353,0.7087394949,0,0.4098801378,0,0,0.8423286811,0,0,0,0,0.7447456629,0.9697334502,0.7458444857,0.3320780708,0.5953595793,0.6512587482,0,0.8466915969,0.9557368924,0.9589313492,0.7379801027,0,0,0,0.9549333208,0.5725380335,0.9093713905,0,0,0.9338804675,0.947339799,0.9414447694,0.9040155754,0.5056154474,0,0,0.5283504917,0.7278522968,0.9554897238
0,0,1,0.9514469739,0.5927012799,0.8667821075,0,0,0,0.9933071813,0,0.7249824714,0.247132487,0,0.8336334664,0.6601180833,0,0.9195360638,0,0,0,0,0.6017245155,0.8539459879,0,0,0,0,0,0,0.9297222613,0,0,0,0,0,0,0.8914023494,0,0,0,0,0,0,0,0,0,0,0,0.2433752933,0.9361780654,0,0.8990243466,0,0,0,0,0.9694808022,0,0,0,0,0.9164077494,0.7193519988,0,0,0.6401751935,0.6378632463,0.1848899939,0,0,0,0,0,0,0.5178174418,0,0,0,0,0,0,0,0,0,0,0,0.3004203535,0,0,0,0,0.590659503,0.5922191641,0,0,0.602489045,0.8070076267,0.8448353144,0,0,0,0,0,0,0.8969221531,0,0,0,0,0.8018328146,0.9480320529,0.2744782463,0,0,0,0,0,0,0,0,0,0,0.8568043804,0.186937223,0,0,0
0,0,0.9514469739,1,0.6317687505,0.8114059296,0,0,0,0.9510221967,0,0.5865882779,0,0,0.8247060913,0.6482708025,0,0.9156157779,0,0,0,0,0.5266391992,0.802664913,0,0,0,0,0,0,0.8657800221,0,0,0,0,0,0,0.7948723029,0,0,0,0,0,0,0,0,0,0,0,0.2492996264,0.9400162622,0,0.917000925,0,0,0,0,0.9369606713,0,0,0,0,0.9443452471,0.5926288957,0,0,0.4961519939,0.4932355649,0,0,0,0,0,0,0,0.3317195145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6619468722,0.663343386,0,0,0.3945589239,0.8886856228,0.9271037766,0,0,0,0,0,0,0.7760480745,0,0,0,0,0.6219316986,0.8496450865,0,0,0,0,0,0.2486015671,0,0,0,0,0,0.7605805844,0.2162754956,0,0,0
0,0,0.5927012799,0.6317687505,1,0.4537987377,0,0,0,0.6082063338,0,0.5027027023,0,0,0.5665311035,0.4866625767,0,0.5992525592,0,0,0,0,0.4817406112,0.6134683984,0,0,0,0,0,0,0.5276241813,0,0,0,0,0,0,0.5387828091,0,0,0,0,0,0,0,0,0,0,0,0.3678158005,0.6474590773,0,0.5684582644,0.1813716939,0,0,0,0.5403186202,0,0,0,0,0.6477872199,0.589492988,0,0,0.2693824396,0.2671874728,0.3136592474,0,0,0,0,0,0,0.2041776126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2667858123,0,0.7948867962,0.7947921111,0,0,0.4294885001,0.5406678671,0.5374565161,0,0,0,0,0,0,0.4361178636,0,0,0,0,0.4369013681,0.5667918823,0.256275566,0,0,0,0,0,0,0,0,0,0,0.5546794145,0,0,0,0
0,0,0.8667821075,0.8114059296,0.4537987377,1,0,0,0,0.8490008324,0,0.6659673247,0.226850866,0,0.7504520904,0.667229217,0,0.7483890464,0,0,0,0,0.3964348741,0.6949059835,0,0,0,0,0,0,0.8613315722,0,0,0,0,0,0,0.8317014514,0,0,0,0,0,0,0,0,0,0,0,0,0.8397467312,0,0.8067007359,0,0,0,0,0.8584169398,0,0,0,0,0.825638308,0.7675570442,0,0,0.6189875394,0.6173425405,0.3396459867,0,0,0,0,0.2121032974,0,0.6102872677,0,0,0,0,0,0,0,0,0,0,0,0.3430812163,0,0,0,0,0.5541074051,0.5553406673,0,0,0.634726489,0.7734804282,0.7972901185,0,0,0,0,0,0,0.8046056198,0,0,0,0,0.8234526458,0.8268127772,0.3158472367,0,0,0,0,0,0,0,0,0,0,0.8530412597,0,0,0,0
0.5769194055,0.7148615394,0,0,0,0,1,0.7711628843,0.3924003778,0,0.6382958146,0,0.2126910978,0.7769608138,0,0,0.8091147821,0,0.7165511123,0.6778846915,0.7775362916,0.6616943088,0,0,0.8321575911,0.645014025,0.6455447412,0.5828734624,0.4105683785,0.5284997727,0,0.7122270612,0,0.7358983391,0.6287161314,0.6851699343,0.4854415371,0,0.2877832372,0.7333851593,0.7679022115,0.5680360194,0,0.5858035648,0.608964034,0.6483497111,0.8209362962,0.7368796477,0.7584167839,0.2218250214,0,0.5732904284,0,0.1883178595,0.6231115147,0.7022910044,0.4541996167,0,0.5967163972,0.7220543052,0.4607384328,0.5605958754,0,0,0.3313399416,0.7100649141,0,0,0,0.7013779522,0.6915337481,0.5797501413,0.2051544413,0,0.5359844915,0,0.3721637352,0.4033720616,0.6822497501,0.4001554638,0.3824967725,0.2351682236,0.445723728,0.3084310497,0.6872799191,0,0.5172051157,0,0.5243820545,0.6216717191,0,0.3967258292,0,0,0.6356181969,0.302835376,0,0,0,0.2904172296,0.6511146195,0.2926248329,0,0.5738738928,0.7088238129,0,0.7922903872,0.5725764054,0.7495292898,0.6610743907,0,0,0,0.7332825559,0,0.7249901544,0.3885001622,0,0.6041896824,0.7837810097,0.5978933704,0.7684030933,0.6766486278,0,0.1804571967,0,0.5863240446,0.6081447936
0.2893243869,0.8226546299,0,0,0,0,0.7711628843,1,0.2582900338,0,0.3740438959,0,0.207283044,0.974726557,0,0,0.8964710806,0,0.7655509661,0.8428883217,0.9278462107,0.5350452073,0,0,0.8659892881,0.7704527458,0.7964835318,0.8484226797,0.7988925482,0.7020134536,0,0.6918145702,0,0.9685276887,0.9050460863,0.9755561217,0.7254760412,0,0,0.9670280979,0.9254081678,0.8075819659,0,0.8511624005,0.854977947,0.8528321327,0.9281121715,0.8870863995,0.952555296,0,0,0.4265851267,0,0.4352206184,0.9052392376,0.8468162406,0.5371512424,0,0.8710274133,0.9840056623,0.8507838263,0.9042205918,0,0,0.7255502112,0.9348437528,0,0,0.2789857997,0.9760482861,0.9229483945,0.8700141662,0.4769789186,0.3279709828,0.848018182,0,0.6168241681,0.841633856,0.9477720345,0.678261179,0.6461968301,0.536489514,0.7247499241,0.6094488719,0.9750923445,0.6660147509,0.9079957061,0,0.8261943972,0.9359492563,0.4129810298,0.7788763571,0,0,0.9517592779,0.538381875,0,0,0,0.7576760082,0.8383444857,0.4270281249,0,0.8813999043,0.9174182448,0,0.875896074,0.6925491633,0.9325527953,0.6596146665,0,0,0.268906241,0.8456684619,0.2149447384,0.8831949381,0.4972684953,0,0.8935584256,0.9286098863,0.8728947766,0.9536950634,0.7521615558,0,0,0.3076646673,0.8873098586,0.7335652348
0.6713475756,0.6024826397,0,0,0,0,0.3924003778,0.2582900338,1,0,0.5441600933,0,0,0.2261567593,0,0,0.5865586215,0,0.4316430044,0.1902283288,0.2032814503,0.8518763743,0,0,0.2140867018,0.6800765548,0,0.2502178279,0,0,0,0.5399695399,0.4436483436,0.2821092205,0,0.1778311985,0,0,0.8351082868,0.3130822636,0.4325458127,0.3902523526,0.5379027863,0.4616934309,0.1766047653,0.478188155,0.5079604331,0.3844492805,0.3035667871,0.3035877887,0,0.645681443,0,0,0,0.5454208563,0.7497216916,0,0,0.18736137,0,0,0,0,0,0.4078110487,0,0,0,0.2556873279,0.412992034,0,0,0,0,0,0,0,0.2701434378,0,0.3166917698,0,0,0,0.2466314326,0,0,0,0,0,0,0,0,0,0.2483514065,0,0,0,0,0.2186630574,0.4411816182,0.5861409998,0.1814237694,0,0,0,0.5396222847,0.5338193115,0.4239315457,0.3280439113,0,0,0,0.4549476417,0.384004533,0.4155368799,0,0.4252287551,0.3775779472,0.4008594468,0.3709666575,0.3400730852,0,0,0.5838806038,0.4367297707,0,0.639235234
0,0,0.9933071813,0.9510221967,0.6082063338,0.8490008324,0,0,0,1,0,0.716222563,0.2680696919,0,0.858210679,0.6848065645,0,0.9321866338,0,0,0,0,0.6304107411,0.8734266356,0,0,0,0,0,0,0.9221629841,0,0,0,0,0,0,0.8738761712,0,0,0,0,0,0,0,0,0,0,0,0.250277524,0.9208924946,0,0.8783097576,0,0,0,0,0.974351986,0,0,0,0,0.9042942844,0.7128663016,0,0,0.5870325143,0.5845661944,0.1862304032,0,0,0,0,0,0,0.4928696113,0,0,0,0,0,0,0,0,0,0,0,0.2714012233,0,0,0,0,0.5652037817,0.5667467367,0,0,0.6034683595,0.777154301,0.8287403875,0,0,0,0,0,0,0.8929143989,0,0,0,0,0.7930601538,0.958350653,0.279477376,0,0,0,0,0,0,0,0,0,0,0.8354196134,0,0,0,0
